lhj_name,cases,date
Los Angeles,1886,2022-09-20
San Francisco,782,2022-09-20
San Diego,382,2022-09-20
Riverside,255,2022-09-20
Alameda,211,2022-09-20
Orange,217,2022-09-20
Santa Clara,168,2022-09-20
Sacramento,133,2022-09-20
Long Beach,103,2022-09-20
Contra Costa,95,2022-09-20
San Bernardino,86,2022-09-20
San Mateo,72,2022-09-20
Sonoma,43,2022-09-20
Solano,38,2022-09-20
Fresno,29,2022-09-20
Pasadena,26,2022-09-20
Ventura,24,2022-09-20
Marin,21,2022-09-20
Monterey,19,2022-09-20
Berkeley,17,2022-09-20
San Joaquin,18,2022-09-20
Kern,17,2022-09-20
Stanislaus,17,2022-09-20
Santa Barbara,14,2022-09-20
Placer,11,2022-09-20
Santa Cruz,9,2022-09-20
Napa,8,2022-09-20
Yolo,8,2022-09-20
Butte,6,2022-09-20
Tulare,5,2022-09-20
Imperial,5,2022-09-20
Shasta,3,2022-09-20
El Dorado,2,2022-09-20
Humboldt,1,2022-09-20
Merced,1,2022-09-20
San Luis Obispo,1,2022-09-20
Lake,<11*,2022-09-20
Mariposa,<11*,2022-09-20
Mendocino,<11*,2022-09-20
San Benito,<11*,2022-09-20
Sutter,<11*,2022-09-20
Yuba,<11*,2022-09-20
